Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CWYBNSVSYKQGJB-UHFFFAOYNA-N,71541095,6532,A,6.85387,pubchem,727355,9606,SLC6A4,4061,ClC=1C=C(C2CCCCNC2)C=CC1Cl
CTETYYAZBPJBHE-UHFFFAOYNA-N,CHEMBL1289,6532,A,6.37,chembl20,774720,9606,SLC6A4,4061,C(#CI)COC=1C=C(Cl)C(=CC1Cl)Cl
FQDRMHHCWZAXJM-UHFFFAOYNA-N,125558,25553,A,9.98297,pubchem,205028,10116,SLC6A4,4061,O1C=2C=C3CC(N)CC3=CC2OC1
QRAWNNQNLQPNIZ-UHFFFAOYNA-N,CHEMBL205229,6532,A,7.54,chembl20,950695,9606,SLC6A4,4061,N1C=C(CCN)C2=C1C(=CC=C2)F
HCFHWXDIZOAUTQ-UHFFFAOYNA-N,CHEMBL6376,25553,A,6.11,chembl20,201505,10116,SLC6A4,4061,C1(=CC=2OCOC2C=C1C)CC(N)C
JBDOSUUXMYMWQH-UHFFFAOYNA-N,CHEMBL1381098,6532,A,5.12,chembl20,774720,9606,SLC6A4,4061,S=C=NC=1C=2C(C=CC1)=CC=CC2
LYMHIBZGTAPASQ-UHFFFAOYNA-N,458519,6532,A,5.67407,pubchem,1159167,9606,SLC6A4,4061,O=C(C(NCC)C)C=1C=CC=CC1
NTDQQZYCCIDJRK-UHFFFAOYNA-N,CHEMBL195437,6532,A,5.43,chembl20,774720,9606,SLC6A4,4061,C=1(C=CC(=CC1)CCCCCCCC)O
NGBBVGZWCFBOGO-UHFFFAOYNA-N,1614,25553,A,6.32057,pubchem,471665,10116,SLC6A4,4061,O1C=2C=C(CC(N)C)C=CC2OC1
NGBBVGZWCFBOGO-UHFFFAOYNA-N,1614,6532,A,6.32057,pubchem,488692,9606,SLC6A4,4061,O1C=2C=C(CC(N)C)C=CC2OC1
QYVNZHBQYJRLEX-UHFFFAOYNA-N,CHEMBL6842,25553,A,7.09,chembl20,201505,10116,SLC6A4,4061,C12=CC(CC(N)C)=CC=C1CCC2
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,6532,A,6.09,chembl20,965139,9606,SLC6A4,4061,C1(=CNC2=C1C=CC=C2)CC(N)C
WOBAXWXQKSIHCH-UHFFFAOYNA-N,CHEMBL193309,6532,A,5.0,chembl20,622501,9606,SLC6A4,4061,C(C(C)N)C=1C=CC(=CC1)SCC
WWHIYWVWPXXBTC-UHFFFAOYNA-N,CHEMBL1078038,25553,A,6.38,chembl20,622493,10116,SLC6A4,4061,C(C(C)NC)C=1C=CC(=CC1)SC
AZMKBJHIXZCVNL-UHFFFAOYNA-N,11492305,6532,A,5.1621,pubchem,393258,9606,SLC6A4,4061,FC1=CC(C2OC(CC2)CN)=C(OC)C=C1
BWEGTFZAQIVRFB-UHFFFAOYNA-N,CHEMBL1077961,25553,A,6.18,chembl20,622493,10116,SLC6A4,4061,C(C(C)NOC)C=1C=CC(=CC1)SC
CODMIIYHWPZIMY-UHFFFAOYNA-N,CHEMBL2347032,6532,A,8.1,chembl20,950695,9606,SLC6A4,4061,C1=CC(=C2C(=C1)C(=CN2)CCCCN)F
CTBHJRJNGBRBTD-UHFFFAOYNA-N,CHEMBL1078948,6532,A,5.4,chembl20,622498,9606,SLC6A4,4061,NC(CC=1C=CC(=CC1)SC(C)(C)C)C
DTEDVKORISMLCH-UHFFFAOYNA-N,43565977,25553,A,6.21396,pubchem,471630,10116,SLC6A4,4061,S(C1=CC=C(CC(N)CC)C=C1)C
BSMNRYCSBFHEMQ-UHFFFAOYNA-N,9795276,6532,A,7.92082,pubchem,550776,9606,SLC6A4,4061,ClC=1C=C(C23C(C2)CNC3)C=CC1Cl
BGCULJQWALNKFG-UHFFFAOYNA-N,CHEMBL36059,25553,A,5.4,chembl20,201653,10116,SLC6A4,4061,C1(C2CCC1CNC2)C3=CC=CC=C3
IGFHQQFPSIBGKE-UHFFFAOYNA-N,CHEMBL153062,6532,A,5.75,chembl20,774720,9606,SLC6A4,4061,C=1(C=CC(=CC1)CCCCCCCCC)O
JMLCRWOWZIZAEU-UHFFFAOYNA-N,CHEMBL1078440,25553,A,6.36,chembl20,622493,10116,SLC6A4,4061,C(C(CC)NC)C=1C=CC(=CC1)SC
LOJCUYCKDGYLJH-UHFFFAOYNA-N,CHEMBL143750,25553,A,6.44,chembl20,201638,10116,SLC6A4,4061,N1(CCCC2=CC=CC=C2)CCNCC1
GIADSEBUTATWLB-UHFFFAOYNA-N,CHEMBL2204342,6532,A,6.1,chembl20,879333,9606,SLC6A4,4061,[CH](CN(C)C)C1=CC=C(C=C1)OC
